Classification,Name,Contact,Communication_Preference,Phone,Invoice_Email,Route,Rating,csp,matchname,city,street,postalcode
Général,IGA EXPRESS FAMILLE PICHE,Genevieve Alain,Telephone,4502242727,IGA06042PREVOST@SOBEYS.COM,Rive Nord,3,,IGA EXPRESS FAMILLE PICHE. - 00539,PRÉVOST QUÉBEC J0R1T0,2900 BOUL CURÉ-LABELLE,J0R1T0
Général,IGA EXPRESS LES FILLES ET ASSOCIES,Martine Lalande,Courriel,4504371920,iga06023rosemere@sobeys.com,Rive Nord,3,,IGA EXPRESS LES FILLES ET ASSOCIES. - 00540,ROSEMÈRE QUÉBEC J7A2H3,203 BOUL. CURÉ LABELLE,J7A2H3
Général,IGA EXTRA DAIGLE (#8548 le Faubourg)),benoit 514-882-7749,PivoHub/Courriel,4504336226,iga08548epicerie@sobeys.com,Rive Nord,3,,No match,N/A,N/A,N/A
Général,IGA EXTRA FAMILLE PICHE,Michel Après 9 AM Nos bières dans le frigo,Telephone,4502244575,IGA08573PREVOST@SOBEYS.COM,Rive Nord,3,,IGA EXTRA FAMILLE PICHE. - 00542,PRÉVOST QUÉBEC J0R1T0,2635 BOUL LABEL,J0R1T0
Général,IGA EXTRA LAMOUREUX,Janick Lamoureux :),Cell + Email,5147079936,janlamoureux@gmail.com,Rive Nord,3,,No match,N/A,N/A,N/A
IGA EXTRA MARCHÉ ST-ANTOINE,Jean-Sebastien Martel,Courriel,4504365004,iga08004poisson@sobeys.comjsebmartel@gmail.com,Rive Nord,3,,IGA EXTRA MARCHE ST-ANTOINE 8004. - 00544,ST-JÉRÔME QUÉBEC J7Z7M2,1430 BOUL. ST-ANTOINE,J7Z7M2
Général,IGA MARCHE AU CHALET,Sylvain jean-philippe,Telephone,4502294256,IGA08224COMPTABILITE@SOBEYS.COM,Rive Nord,3,,IGA MARCHE AU CHALET. - 00545,STE-ADÈLE QUÉBEC J8B0K2,"1300 BOUL, ST-ADÈLE",J8B0K2
Général,IGA MARCHE HEBERT,Janick .,Courriel,4504721558,iga08030epicerie@sobeys.com,Rive Nord,3,,IGA LAMOUREUX 8030,ST-EUSTACHE,299 ARTHUR SAUVÉ,J7P2B1
Général,IGA ST-CANUT,Philippe Lemieux c.514-346-1760,Cell Phone,4504313244,iga08240direction@sobeys.com,Rive Nord,3,,IGA ST-CANUT. - 00562,MIRABEL QUÉBEC J7N0T4,9600 VOIE DE DESSERTE,J7N0T4
Général,IGA TELLIER MONT-TREMBLANT,Jean-Luc De la Bruyère poste 639,Telephone,8196810330,IGA00237COMPTABILITE@SOBEYS.COM,Rive Nord,3,,IGA TELLIER MONT-TREMBLANT. - 00547,MONT-TREMBLANT QUÉBEC J8E2X5,412 RTE 117 MONT-TREMBLANT,J8E2X5
Général,LA CHAUDRONNEE,Joan Carrier,Cell + Email,4504748206,JOAN.CARRIER@LACHAUDRONNEE.COM,Rive Nord,3,,LA CHAUDRONNEE. - 00563,MASCOUCHE QUÉBEC J7K2N3,1321 CHEMIN ST-HENRI,J7K2N3
Général,LA PORTE DES BIERES,Zhu Guang Xuan cell 514-929-2587 Anglophone,Cell + Email,5149292587,zjr2000@yahoo.com,Rive Nord,3,,No match,N/A,N/A,N/A
Général,Les mercenaires culinaires,Frederic Samuel,Telephone,8197174141,,Rive Nord,3,,LES MERCENAIRES CULINAIRES,MONT-TREMBLANT,"411, RUE STE-JOVITE",J8E2Z9
Général,Ma Boucherie.ca 2017 Inc.,Sophie Poirier,Cell + Email,4506884444,info@maboucherie.ca,Rive Nord,3,,MABOUCHERIE.CA 2017 INC - 00799,LAVAL,"423, CARTIER OUEST",H7N2L3
Général,MARCHE BELLEFEUILLE TRADITION FAMILLE CHALIFOUX,Martin Ouellet,Telephone,4504363893,marchebellefeuille@videotron.ca,Rive Nord,3,,MARCHE BELLEFEUILLES LTEE - 00754,ST-JEROME,1004 BOUL. DE LA SALETTE,J5L2JS
Général,MARCHE BONICHOIX STE-ADÈLE,Pascal / Emile :),Telephone,4502293748,bx05845montrolland@sobeys.com,Rive Nord,3,,MARCHE BONICHOIX STE-ADELE. - 00550,STE-ADÈLE QUÉBEC J8B1J9,940 ST-GEORGES,J8B1J9
Général,MARCHE GARIEPY,Kevin / Charles,Telephone,8193200182,catherinegariepy1421@gmail.com,Rive Nord,3,,MARCHE GARIEPY. - 00551,VAL-DAVID QUÉBEC J0T2N0,1417 ROUTE 117,J0T2N0
Général,MARCHE ST-HYPOLITE,rené .,Telephone,4505632145,Estelle.marchetradition@gmail.com,Rive Nord,3,,MARCHE ST-HYPOLITE. - 00552,ST-HYPOLITE QUÉBEC J8A3B9,2280 BOUL. DES. HAUTEURS,J8A3B9
2% Gestion,METRO 0272 : METRO ST-ANTOINE,Vincent .,Telephone,4504317353,MA000722ADM@METRO.CA,Rive Nord,3,,METRO/:MÉTRO PLUS MARCHE ELITE ST-JEROME  - 722.,ST-JÉROME,"430, MGR DUBOIS",J7Y3L8
2% Gestion,METRO 127 : METRO PLUS FAMILLE THIBAULT,kevin parent,Telephone,4504351279,ma000722adm@metro.ca,Rive Nord,3,,METRO/:MÉTRO PLUS 127 - MARCHÉ ÉLITE BLAINVILLE,BLAINVILLE QUÉBEC J7C2N4,1260 BOUL. CURÉ LABELLE,J7C2N4
2% Gestion,METRO 22378 : ALIMENTATION MARCEL PICARD,Camille Henri (pas jeudi) / Pierre Benoit,Telephone,4506233010,mf022378opr@metro.ca,Rive Nord,3,,METRO/:MÉTRO ALIMENTATION MARCEL PICARD 22378.,SAINTE-MARTHE-SUR-LE-LAC,"2860, boul. des Promenades",J0N1P0
2% Gestion,METRO 22395 : METRO PLUSARTHUR-SAUVE,Francois Ethier,Courriel,4504728048,mf022395mgr@metro.ca,Rive Nord,3,,METRO/:MÉTRO PLUS 2395 - ALIMENTATION FRANÇOIS ÉTHIER,SAINT-EUSTACHE,"753, boul. Arthur-Sauvé",J7R4K3
2% Gestion,METRO 2311: METRO ST-ADÈLE,Mathieu .,Telephone,4502292345,MF022311ADM@METRO.CA,Rive Nord,3,,METRO/:MÉTRO ST-ADÈLE 2311.,SAINTE-ADÈLE,"555, boul. Ste-Adèle (rte 117)",J8B1A7
Général,METRO 2377 : 9364 - 2213 QC INC.,Michel Vincent / David,Courriel,8193222030,mf022377mgr@metro.ca,Rive Nord,3,,METRO/:METRO 2377- 9364-2213 QC INC..,VAL DAVID,2500 DE L EGLISE,J0Y2N0
2% Gestion,METRO 2441: 9387-3966 QC,Jeannot Bélanger,Telephone,8193262822,MF022441ADM@METRO.CA,Rive Nord,3,,METRO/:MÉTRO 2441 9387-3966 QC.,SAINTE-AGATHE-DES-MONTS,"1050, rue Principale",J8C1L6
2% Gestion,METRO 2450 : ALIM DOMINIC POTVIN,Jean-Francois . c. 450-822-4080 appeler directement svp,Telephone,8194253381,,Rive Nord,3,,METRO/:MÉTRO ALIM DOMINIC POTVIN 2450.,MONT-TREMBLANT QUÉBEC J8E3J9,1011 RUE ST-JOVITE,J8E3J9
2% Gestion,METRO 271 : METRO ST-SOPHIE -,Olivier Non listé,Telephone,4504363476,MA000722ADM@METRO.CA,Rive Nord,3,,No match,N/A,N/A,N/A
2% Gestion,METRO 5948: METRO SUPER C DAGENAIS,David Rousseau,Email,4506288143,MS005948OPR@METRO.CA,Rive Nord,3,,METRO/:MÉTRO SUPER C DAGENAIS 5948,LAVAL QUÉBEC H7P 1W1,3850 BOULEVARD DAGENAIS OUEST,H7P1W1
2% Gestion,METRO 5971 : METRO SUPER C MONT-TREMBLANT,Stephane Desmers Frigo,Courriel,8194296322,ms025971opr@metro.ca,Rive Nord,3,,No match,N/A,N/A,N/A
2% Gestion,METRO 6845 - Dépanneur des Hauteurs,michael thibodeau 514-772-7791,Cell + Email,4502245210,michaelthibodeau001@gmail.com,Rive Nord,3,,METRO/:METRO 6845 - 9200-5784 QC INC - DEPANNEUR DES HAUTEURS,SAINT-HIPPOLYTE,950 BOUL. DES HAUTEURS,J8A1K9
2% Gestion,METRO 722 : METRO FAMILLE THIBAULT,Mathiew,Courriel,4504323433,MA000722ADM@METRO.CA,Rive Nord,3,,No match,N/A,N/A,N/A
2% Gestion,METRO SUPER C 6140,Eric Lavoie Cell SVP 438-521-4411,,4504359544,ms026140opr@metro.ca,Rive Nord,3,,No match,N/A,N/A,N/A
PÉTRO-CANADA MIRABEL,Yves,Courriel,4504198215,petro10440@bellnet.ca,Rive Nord,3,,PETRO-CANADA  MIRABEL. - 00553,MIRABEL QUÉBEC J7J0R6,"18215, BOUL DE VERSAILLE",J7J0R6
PROVIGO DOMINIC CASAULT ( Lorraine ),François Gingras / Marisol Trezeau,Courriel,4506211115,smp8658p@provigo.ca,Rive Nord,3,,LOBLAW:PROVIGO DOMINIC CASAULT. - 00554,BRAMPTON ONTARIO L6Y5S5,1 PRESIDENT'S CHOICE CIRCLE,L6Y5S5
Général,PROVIGO ST-JEAN 8028,CÉLINE BROUILLETTE ROXANNE MUSSEL,Cell + Email,4504781864,SMP8028G@PROVIGO.CA,Rive Nord,3,,No match,N/A,N/A,N/A
Général,SALAMICO,sylvain .,Telephone,4504724419,SALAMICO@VIDEOTRON.CA,Rive Nord,3,,SALAMICO. - 00555,ST-EUSTACHE QUÉBEC J7R2M4,"385, RUE ST-EUSTACHE",J7R2M4
Général,Supermarche Boucher Inc.,Denis Lepine,Cell + Email,8194247679,ma000277adm@metro.ca,Rive Nord,3,,METRO/:METRO 0277 - SUPERMARCHE BOUCHER INC,ST-DONAT-MONTCALM,870 PRINCIPALE,J0T2C0
Général,DEPANNEUR DE LA GARE,Melodie / Janick Bernard (Jeudi),Telephone,4509517966,JANICK.MELODIE@HOTMAIL.COM,Rive Nord,4,,No match,N/A,N/A,N/A
Général,MARCHE ETHIER EXPRESS,Linda (AUCUN IPA),Telephone,4502584411,ETHIER_SERGE@HOTMAIL.CA,Rive Nord,4,,MARCHE ETHIER EXPRESS. - 00565,MIRABEL QUÉBEC J7N2B6,12446 ARTHUR-SAUVÉ,J7N2B6
2% Gestion,METRO 0581 : METRO DENIGIL,Vincent Carrière,Telephone,4506892282,,Rive Nord,4,,METRO/:MÉTRO DENIGIL 0581.,"STE-DOROTHÉE, LAVAL QUÉBEC H7X1J5",555 BOUL. SAMSON,H7X1J5
2% Gestion,METRO 22445 : ALIMENTATION SYLVAIN BOLDUC (2011) inc.,Poste 2 et Carl Brousseau,Telephone,4506224524,MF022445OPR@METRO.CA,Rive Nord,4,,METRO/:MÉTRO ALIMENTATION SÉBASTIEN LADOUCEUR INC. 2386.,LAVAL,"1207, CURÉ LABELLE",H7L5R7
2% Gestion,METRO 373 : METRO ROSEMERE,Rejean Lemay,Courriel,5147083510,METROROSEMERE@VIDEOTRON.CA,Rive Nord,4,,METRO/:MÉTRO ROSEMERE - 373.,ROSEMÈRE,348 CHEMIN GRANDE CÔTE,J7A1K3
Général,METRO 5918: METRO SUPER C BLAINVILLE,Jeremy,Telephone,5149633797,ms005918opr@metro.ca,Rive Nord,4,,METRO/:MÉTRO SUPER C BLAINVILLE 5918,BLAINVILLE,259 BOUL DE LA SEIGNEURIE O.,J7C4N3
Général,PETRO-BIÈRE,Mourad,Courriel,5146606107,MOURAD_TKA@HOTMAIL.CA,Rive Nord,4,,PETRO-BIERE. - 00566,MIRABEL QUÉBEC J7N1L6,9061 ROUTE SIR WILFRID LAURIER,J7N1L6
Général,SAUCISSES ETC,jenny perreault,Courriel,5144974540,info@saucissesetc.com,Rive Nord,4,,No match,N/A,N/A,N/A
Général,VIA CASSIA (CAFE ET MARCHE),Joseph Cassia,Courriel,4506892999,CASSERS@VIDEOTRON.CA,Rive Nord,4,,VIA CASSIA (CAFE ET MARCHE). - 00569,LAVAL QUÉBEC H7Y1Z8,1263 JOLIBOURG,H7Y1Z8
LE MAPACHE,Maxime Drouin Isabelle Gérard,Cell + Email,5142793481,MAXDROUIN7@GMAIL.COM,Rive Nord,2,csp,No match,N/A,N/A,N/A
Microbrasserie,MICROBRASSERIE LES INSULAIRES,Marilène Barale,Courriel,5148059181,INFO@LESINSULAIRES.CA,Rive Nord,2,csp,MICROBRASSERIE LES INSULAIRES. - 00572,LAVAL,"275, BOUL. DE LA CONCORDE EST",H7G2E5
Général,BIÈRE AU MENU,Catherine,Courriel,4506210611,gabrielle@biereaumenu.com,Rive Nord,3,csp,SAUCISSERIE BDF. - 00528,BOIS-DES-FILLION (,"69, MONTÉE GAGNON",J6Z1H8
Général,LE BALTHAZAR,Clement,Courriel,,comptabilite@lebalthazar.com,Rive Nord,3,csp,No match,N/A,N/A,N/A
Microbrasserie,MICROBRASSERIE LE ST-GRAAL,Pascal Fex,Courriel,4508186039,saintgraal32@hotmail.com,Rive Nord,3,csp,MICROBRASSERIE LE ST-GRAAL. - 00579,STE-THÉRÈSE,"32, RUE TURGEON",J7E3H4
Microbrasserie,MICROBRASSERIE NOIRE & BLANCHE,Yan Nous appelle si besoin,Courriel,4509836100,NEBMICRO@GMAIL.COM,Rive Nord,3,csp,MICROBRASSERIE NOIRE & BLANCHE. - 00580,SAINT-EUSTACHE,"196, RUE ST-EUSTACHE",J7R2L5
Général,PUB BARILS & ARDOISES,Roger / Patrick Mass,Courriel,4504302988,BARILSARDOISES@MAIL.COM,Rive Nord,3,csp,L'ARDOISE. - 00575,STE-THÉRÈSE QUÉBEC J7E2Y2,327 BOUL. CURÉ-LABELLE,J7E2Y2
Général,Restaurant la pomponette,Jean-Michel Pigeon c.514-435-5722,Telephone,4384085544,restaurantlapomponnette@gmail.com,Rive Nord,3,csp,No match,N/A,N/A,N/A
Général,LA CHOPE ST-JERÔME,Samuel Paquette,Courriel,4505043676,administration@lachope.bar,Rive Nord,3,csp,LA CHOPE ST-JEROME. - 00564,ST-JÉRÔME,"316, RUE ST-GEORGES",J7Z5A5
Général,BOUCHERIE AUX SAVEURS DES SEVELIN,Karl,Courriel,4504483918,karlwindge@gmail.com,Rive Sud-Ouest,1,,BOUCHERIE AUX SAVEURS DES SEVELIN. - 00639,LONGUEIL,1575 BOUL.JACQUES-CARTIER EST,J4M2B5
AA,IGA EXTRA MARCHE GAOUETTE,YAN (450-558-1785) .,Pivohub / tel,4503784447,IGA00277granby@SOBEYS.COM,Rive Sud-Ouest,1,,IGA EXTRA MARCHE GAOUETTE. - 00640,GRANBY,"40, ÉVANGELINE",J2G8K1
2% GESTION + AA,IGA LAMBERT - MARCHE LAMBERT & FRÈRES INC,Carl / Daniel,PivoHub/Courriel,4504470330,IGA08021DIRECTION2@SOBEYS.COM,Rive Sud-Ouest,1,,No match,N/A,N/A,N/A
AA,LES ASSOIFFES,Mathias / Etienne / Audrey,Cell + Email,4506729779,LESASSOIFFES@HOTMAIL.COM,Rive Sud-Ouest,1,,LES ASSOIFFÉS.,SAINT-LAMBERT QUÉBEC J4P2J5,"540, AV. VICTORIA",J4P2J5
Général,MARCHE LAVIGNE,Kim avant midi,Telephone,4506704350,DHKIM6002@GMAIL.COM,Rive Sud-Ouest,1,,MARCHE LAVIGNE. - 00642,LONGUEUIL,79 ST-LAURENT OUEST,J4H1L7
Général,PASQUIER,Nicholas (email) epicerie101@pasquier.qc.ca,PivoHub/Courriel,4503496422,epicerie101@pasquier.qc.casylvie.lafrance@pasquier.qc.ca,Rive Sud-Ouest,1,,SEC PASQUIER. - 00643,ST-JEAN-SUR-RICHELIEU QUÉBEC J2W1E2,87-A BOUL. SAINT-LUC,J2W1E2
Général,TITE FRETTE,SABRINA .,Courriel,4509561800,achat@titefrette.ca,Rive Sud-Ouest,1,,No match,N/A,N/A,N/A
Général,TITE FRETTE (COWANSVILLE),BRUNO .,Telephone,4508151800,achat@titefrette.ca,Rive Sud-Ouest,1,,TITE FRETTE. - 00644:TITE FRETTE (ST-HYACINTHE),ST-HYACINTHE QUÉBEC J2S 3H3,1384 DES CASCADES,J2S3H3
AA,TITE FRETTE (ST-JEAN),MAXIME .,Courriel,4508953800,achat@titefrette.ca,Rive Sud-Ouest,1,,No match,N/A,N/A,N/A
Général,CA COULE À FLOTS,Jean-Philippe Buzare,Courriel,5813072939,JPBUZARE@CACOULEAFLOTS.COM,Rive Sud-Ouest,2,,CA COULE A FLOTS. - 00647,LAPRAIRIE QUÉBEC J5R1W2,"835, BOUL TACHEREAU, SUITE 101",J5R1W2
Général,Depanneur Andre Galipault,Shuaib / Amade,Pivohub / tel,4505382337,bonisoirsutton@hotmail.com,Rive Sud-Ouest,2,,EPICERIE A.GALIPAULT. - 00650,SUTTON J0E2K0,7 RUE PRINCIPALE SUD,J0E2K0
Général,DEPANNEUR CHARLES BOURGEOIS,Charles Bourgeois,Courriel,4502450045,DEP.CB@BELLNET.CA,Rive Sud-Ouest,2,,DEPANNEUR CHARLES BOURGEOIS. - 00648,,170 BOUL. INDUSTRIEL suite 100
Général,DEPANNEUR GRAND DUC,Mark anglo,Courriel,4506747225,DEPANNEURGRANDDUC@GMAIL.COM,Rive Sud-Ouest,2,,DEPANNEUR GRAND DUC. - 00649,LONGUEUIL,1330 RUE MAPLE,J4J4N9
Général,IGA BROSSARD- SUPERMARCHE PICARD,LUC .,Cell + Email,4504448747,iga08226epicerie@sobeys.com,Rive Sud-Ouest,2,,No match,N/A,N/A,N/A
Général,IGA EXTRA GREENFIELD PARK,Gaetan Gagnon(conge merc) 514-250-4200 .,Telephone,4506567055,IGA08283COMPTABILITE@SOBEYS.COM,Rive Sud-Ouest,2,,IGA EXTRA GREENFIELD PARK. - 00654,GREENFIELD PARK QUÉBEC J4V3R4,"300, RUE AUGUSTE",J4V3R4
Général,IGA FAMILLE ROY 8202,Joey,Telephone,4504273614,iga08202epicerie@sobeys.com,Rive Sud-Ouest,2,,No match,N/A,N/A,N/A
Général,IGA REID-BOURSIER,Richard,Telephone,4506917647,iga08199mercier@sobeys.com,Rive Sud-Ouest,2,,IGA REID-BOURSIER. - 00656,MERCIER QUÉBEC J6R2A3,631 BOUL. ST-JEAN-BAPTISTE,J6R2A3
2% Gestion,MARCHE LAMBERT ET FRERES:IGA DELSON (MARCHE LAMBERT),Thierry 514-799-5611 cell,Cell + Email,4506357534,iga08021direction2@sobeys.com,Rive Sud-Ouest,2,,No match,N/A,N/A,N/A
MARCHE LAMBERT ET FRERES:IGA DELSON (MARCHE LAMBERT),Thierry 514-799-5611 cell,Cell + Email,4506357534,iga08021direction2@sobeys.com,Rive Sud-Ouest,2,,No match,N/A,N/A,N/A
